DeploymentYear,total.spring,total.nov,total.dec,total.jan,total.feb,total.mar
ABMI-1268-SW_2018,78,0,0,7,28,31
ABMI-1275-NE_2015,78,0,0,0,0,25
ABMI-1275-NW_2015,78,0,0,0,0,26
ABMI-1275-SE_2015,78,0,0,0,0,25
ABMI-1275-SW_2015,67,0,0,0,0,26
ABMI-1276-NE_2015,78,0,0,0,0,27
ABMI-1276-NW_2015,78,0,0,0,0,27
ABMI-1276-NW-b_2015,42,0,0,0,0,0
ABMI-1276-SE_2015,78,0,0,0,0,27
ABMI-1276-SW_2015,78,0,0,0,0,27
ABMI-1277-NE_2015,78,0,0,0,0,28
ABMI-1277-NW_2015,78,0,0,0,0,28
ABMI-1277-SE_2015,78,0,0,0,0,28
ABMI-1277-SW_2015,78,0,0,0,0,28
ABMI-1278-NE_2017,78,0,0,15,28,31
ABMI-1278-NW_2017,78,0,0,15,28,31
ABMI-1278-SE_2017,78,0,0,15,28,31
ABMI-1278-SW_2017,78,0,0,15,28,31
ABMI-1279-NE_2017,78,0,0,16,28,31
ABMI-1279-NW_2017,62,0,0,16,28,31
ABMI-1279-SE_2017,78,0,0,16,28,31
ABMI-1279-SW_2017,78,0,0,16,28,31
ABMI-1280-NE_2017,78,0,0,12,28,31
ABMI-1280-NW_2017,78,0,0,12,28,31
ABMI-1280-SE_2017,78,0,0,12,28,31
ABMI-1280-SW_2017,78,0,0,12,28,31
ABMI-1281-NE_2018,78,0,0,0,22,31
ABMI-1281-SW_2018,78,0,0,0,22,31
ABMI-1282-NE_2018,78,0,0,6,28,31
ABMI-1282-SW_2018,19,0,0,6,28,31
ABMI-1283-NE_2018,78,0,0,0,23,31
ABMI-1283-SW_2018,78,0,0,0,23,31
ABMI-1284-NE_2016,78,0,0,0,2,31
ABMI-1284-NW_2016,78,0,0,0,2,31
ABMI-1284-SE_2016,78,0,0,0,2,31
ABMI-1284-SW_2016,78,0,0,0,2,31
ABMI-1285-NE_2016,78,0,0,0,5,31
ABMI-1285-NW_2016,78,0,0,0,5,31
ABMI-1285-SE_2016,78,0,0,0,8,31
ABMI-1285-SW_2016,78,0,0,0,4,31
ABMI-1291-NW_2017,78,2,31,31,28,31
ABMI-1292-NE_2017,78,0,0,9,28,31
ABMI-1292-NW_2017,78,0,0,9,28,31
ABMI-1292-SE_2017,78,0,0,9,28,31
ABMI-1292-SW_2017,78,0,0,9,28,31
ABMI-1293-NE_2017,78,1,31,31,28,31
ABMI-1293-NW_2017,78,1,31,31,28,31
ABMI-1293-SE_2017,78,1,31,31,28,31
ABMI-1293-SW_2017,78,1,31,31,28,31
ABMI-1294-NE_2018,78,0,0,6,28,31
ABMI-1294-NW_2018,78,0,0,6,28,31
ABMI-1294-SE_2018,78,0,0,6,28,31
ABMI-1294-SW_2018,78,0,0,6,28,31
ABMI-1295-NE_2018,78,0,0,5,28,31
